1	Should	_	_	O
2	students	_	_	O
3	be	_	_	O
4	taught	_	_	O
5	to	_	_	O
6	compete	_	_	O
7	or	_	_	O
8	to	_	_	O
9	cooperate	_	_	O
10	?	_	_	O

1	It	_	_	O
2	is	_	_	O
3	always	_	_	O
4	said	_	_	O
5	that	_	_	O
6	competition	_	_	O
7	can	_	_	O
8	effectively	_	_	O
9	promote	_	_	O
10	the	_	_	O
11	development	_	_	O
12	of	_	_	O
13	economy	_	_	O
14	.	_	_	O
15	In	_	_	O
16	order	_	_	O
17	to	_	_	O
18	survive	_	_	O
19	in	_	_	O
20	the	_	_	O
21	competition	_	_	O
22	,	_	_	O
23	companies	_	_	O
24	continue	_	_	O
25	to	_	_	O
26	improve	_	_	O
27	their	_	_	O
28	products	_	_	O
29	and	_	_	O
30	service	_	_	O
31	,	_	_	O
32	and	_	_	O
33	as	_	_	O
34	a	_	_	O
35	result	_	_	O
36	,	_	_	O
37	the	_	_	O
38	whole	_	_	O
39	society	_	_	O
40	prospers	_	_	O
41	.	_	_	O
42	However	_	_	O
43	,	_	_	O
44	when	_	_	O
45	we	_	_	O
46	discuss	_	_	O
47	the	_	_	O
48	issue	_	_	O
49	of	_	_	O
50	competition	_	_	O
51	or	_	_	O
52	cooperation	_	_	O
53	,	_	_	O
54	what	_	_	O
55	we	_	_	O
56	are	_	_	O
57	concerned	_	_	O
58	about	_	_	O
59	is	_	_	O
60	not	_	_	O
61	the	_	_	O
62	whole	_	_	O
63	society	_	_	O
64	,	_	_	O
65	but	_	_	O
66	the	_	_	O
67	development	_	_	O
68	of	_	_	O
69	an	_	_	O
70	individual	_	_	O
71	'	_	_	O
72	s	_	_	O
73	whole	_	_	O
74	life	_	_	O
75	.	_	_	O
76	From	_	_	O
77	this	_	_	O
78	point	_	_	O
79	of	_	_	O
80	view	_	_	O
81	,	_	_	O
82	I	_	_	O
83	firmly	_	_	O
84	believe	_	_	O
85	that	_	_	O
86	we	_	_	B-MajorClaim
87	should	_	_	I-MajorClaim
88	attach	_	_	I-MajorClaim
89	more	_	_	I-MajorClaim
90	importance	_	_	I-MajorClaim
91	to	_	_	I-MajorClaim
92	cooperation	_	_	I-MajorClaim
93	during	_	_	I-MajorClaim
94	primary	_	_	I-MajorClaim
95	education	_	_	I-MajorClaim
96	.	_	_	O

1	First	_	_	O
2	of	_	_	O
3	all	_	_	O
4	,	_	_	O
5	through	_	_	B-Claim:For
6	cooperation	_	_	I-Claim:For
7	,	_	_	I-Claim:For
8	children	_	_	I-Claim:For
9	can	_	_	I-Claim:For
10	learn	_	_	I-Claim:For
11	about	_	_	I-Claim:For
12	interpersonal	_	_	I-Claim:For
13	skills	_	_	I-Claim:For
14	which	_	_	I-Claim:For
15	are	_	_	I-Claim:For
16	significant	_	_	I-Claim:For
