If	Backing-B
Muslims	Backing-I
are	Backing-I
required	Backing-I
by	Backing-I
their	Backing-I
religion	Backing-I
to	Backing-I
pray	Backing-I
several	Backing-I
(	Backing-I
is	Backing-I
it	Backing-I
6	Backing-I
?	Backing-I
)	Backing-I
times	Backing-I
a	Backing-I
day	Backing-I
,	Backing-I
and	Backing-I
this	Backing-I
space	Backing-I
is	Backing-I
being	Backing-I
allotted	Backing-I
so	Backing-I
the	Backing-I
Muslim	Backing-I
youth	Backing-I
can	Backing-I
practice	Backing-I
their	Backing-I
religion	Backing-I
properly	Backing-I
.	Backing-I
.	Backing-I
.	Backing-I
why	Backing-I
is	Backing-I
this	Backing-I
prayer	Backing-I
only	Backing-I
being	Backing-I
conducted	Backing-I
once	Backing-I
per	Backing-I
week	Backing-I
?	Backing-I
This	Backing-I
timetable	Backing-I
would	Backing-I
seem	Backing-I
in	Backing-I
opposition	Backing-I
of	Backing-I
what	Backing-I
their	Backing-I
faith	Backing-I
demands	Backing-I
.	Backing-I
I	Backing-I
am	Backing-I
convinced	Backing-I
more	Backing-I
satisfaction	Backing-I
is	Backing-I
gained	Backing-I
from	Backing-I
the	Backing-I
fact	Backing-I
that	Backing-I
they	Backing-I
will	Backing-I
be	Backing-I
allowed	Backing-I
to	Backing-I
halfheartedly	Backing-I
practice	Backing-I
their	Backing-I
faith	Backing-I
in	Backing-I
a	Backing-I
public	Backing-I
school	Backing-I
rather	Backing-I
than	Backing-I
actually	Backing-I
practicing	Backing-I
their	Backing-I
faith	Backing-I
properly	Backing-I
an	Backing-I
a	Backing-I
place	Backing-I
of	Backing-I
worship	Backing-I
.	Backing-I
And	Premise-B
boo	Premise-I
hiss	Premise-I
on	Premise-I
any	Premise-I
Canadian	Premise-I
institution	Premise-I
that	Premise-I
would	Premise-I
allow	Premise-I
discrimination	Premise-I
against	Premise-I
gender	Premise-I
to	Premise-I
be	Premise-I
practiced	Premise-I
on	Premise-I
tax-payer	Premise-I
funded	Premise-I
property	Premise-I
.	Premise-I
