NO	Claim-B
PRAYER	Claim-I
IN	Claim-I
SCHOOLS	Claim-I
!	Claim-I
.	Claim-I
.	Claim-I
.	Claim-I
period	Claim-I
.	Claim-I
Our	Premise-B
education	Premise-I
system	Premise-I
(	Premise-I
as	Premise-I
with	Premise-I
our	Premise-I
government	Premise-I
)	Premise-I
must	Premise-I
remain	Premise-I
secular	Premise-I
and	Premise-I
free	Premise-I
from	Premise-I
these	Premise-I
silly	Premise-I
distractions	Premise-I
.	Premise-I
If	O
you	O
want	O
to	O
chat	O
with	O
your	O
invisible	O
,	O
supernatural	O
friend	O
do	O
so	O
off	O
school	O
property	O
and	O
on	O
your	O
own	O
time	O
.	O
