Prayer	Claim-B
in	Claim-I
schools	Claim-I
should	Claim-I
not	Claim-I
be	Claim-I
led	Claim-I
by	Claim-I
a	Claim-I
school	Claim-I
official	Claim-I
(	Claim-I
who	Claim-I
is	Claim-I
a	Claim-I
gov	Claim-I
'	Claim-I
t	Claim-I
official	Claim-I
if	Claim-I
we	Claim-I
are	Claim-I
talking	Claim-I
about	Claim-I
public	Claim-I
schools	Claim-I
)	Claim-I
.	Claim-I
Students	Premise-B
can	Premise-I
pray	Premise-I
all	Premise-I
they	Premise-I
want	Premise-I
together	Premise-I
or	Premise-I
by	Premise-I
themselves	Premise-I
,	Premise-I
and	Premise-I
very	Premise-I
few	Premise-I
people	Premise-I
actually	Premise-I
argue	Premise-I
against	Premise-I
this	Premise-I
,	Premise-I
at	Premise-I
least	Premise-I
I	Premise-I
think	Premise-I
.	Premise-I
I	O
see	O
no	O
reason	O
why	O
kids	O
need	O
to	O
have	O
a	O
school-led	O
prayer	O
,	O
or	O
a	O
recitation	O
of	O
the	O
Pledge	O
of	O
Allegiance	O
,	O
for	O
that	O
matter	O
.	O
