When	Backing-B
I	Backing-I
was	Backing-I
a	Backing-I
kid	Backing-I
we	Backing-I
learned	Backing-I
religion	Backing-I
in	Backing-I
church	Backing-I
,	Backing-I
math	Backing-I
,	Backing-I
reading	Backing-I
,	Backing-I
history	Backing-I
,	Backing-I
etc	Backing-I
.	Backing-I
,	Backing-I
in	Backing-I
school	Backing-I
and	Backing-I
at	Backing-I
home	Backing-I
.	Backing-I
That	O
has	O
changed	O
because	O
of	O
immigrants	O
,	O
the	O
world	O
just	O
in	O
general	O
becoming	O
smaller	O
through	O
computers	O
,	O
TV	O
.	O
,	O
and	O
people	O
becoming	O
more	O
independent	O
from	O
their	O
own	O
study	O
and	O
reading	O
.	O
Why	O
are	O
some	O
people	O
making	O
it	O
so	O
difficult	O
,	O
demanding	O
that	O
religion	O
be	O
taught	O
also	O
in	O
schools	O
,	O
alongside	O
science	O
?	O
What	O
will	O
Americans	O
do	O
when	O
Arabs	O
wear	O
headscarves	O
,	O
burkas	O
to	O
public	O
school	O
as	O
is	O
happening	O
in	O
Europe	O
?	O
Notice	O
these	O
are	O
only	O
women	O
'	O
s	O
wear	O
,	O
which	O
creates	O
another	O
gigantic	O
problem	O
of	O
suppression	O
of	O
the	O
female	O
(	O
Americans	O
think	O
)	O
.	O
We	O
have	O
some	O
problems	O
to	O
face	O
,	O
don	O
'	O
t	O
we	O
?	O
The	O
entire	O
world	O
has	O
these	O
problems	O
,	O
not	O
just	O
here	O
in	O
America	O
,	O
and	O
we	O
are	O
the	O
guineau	O
pigs	O
.	O
