Cut	Claim-B
down	Claim-I
on	Claim-I
the	Claim-I
(	Claim-I
misogynistic	Claim-I
)	Claim-I
bigotry	Claim-I
in	Claim-I
the	Claim-I
classroom	Claim-I
and	Claim-I
society	Claim-I
and	Claim-I
there	Claim-I
won	Claim-I
'	Claim-I
t	Claim-I
be	Claim-I
any	Claim-I
perceived	Claim-I
"	Claim-I
need	Claim-I
"	Claim-I
for	Claim-I
single-gender	Claim-I
classrooms	Claim-I
.	Claim-I
Honestly	O
,	O
of	O
all	O
the	O
groups	O
of	O
people	O
to	O
be	O
put	O
through	O
"	O
separate	O
but	O
equal	O
,	O
"	O
gender	O
should	O
be	O
the	O
least	O
likely	O
.	O
Seriously	Premise-B
,	Premise-I
our	Premise-I
society	Premise-I
depends	Premise-I
on	Premise-I
us	Premise-I
interacting	Premise-I
with	Premise-I
each	Premise-I
,	Premise-I
at	Premise-I
the	Premise-I
very	Premise-I
least	Premise-I
,	Premise-I
since	Premise-I
we	Premise-I
each	Premise-I
make	Premise-I
up	Premise-I
over	Premise-I
half	Premise-I
the	Premise-I
damn	Premise-I
species	Premise-I
!	Premise-I
