Social	Premise-B
education	Premise-I
is	Premise-I
important	Premise-I
,	Premise-I
alongside	Premise-I
academics	Premise-I
.	Premise-I
The	Premise-I
real	Premise-I
world	Premise-I
is	Premise-I
not	Premise-I
segregated	Premise-I
,	Premise-I
nor	Premise-I
are	Premise-I
universities	Premise-I
.	Premise-I
Unless	O
there	Rebuttal-B
are	Rebuttal-I
individual	Rebuttal-I
circumstances	Rebuttal-I
I	Claim-B
wouldn	Claim-I
'	Claim-I
t	Claim-I
be	Claim-I
sending	Claim-I
my	Claim-I
children	Claim-I
to	Claim-I
a	Claim-I
single	Claim-I
sex	Claim-I
school	Claim-I
.	Claim-I
I	O
'	O
ll	O
be	O
putting	O
this	O
view	O
into	O
practise	O
when	O
my	O
daughter	O
is	O
old	O
enough	O
.	O
