Personally	Claim-B
i	Claim-I
'	Claim-I
d	Claim-I
go	Claim-I
co-ed	Claim-I
.	Claim-I
As	Backing-B
someone	Backing-I
who	Backing-I
went	Backing-I
to	Backing-I
a	Backing-I
same	Backing-I
sex	Backing-I
school	Backing-I
for	Backing-I
8	Backing-I
years	Backing-I
,	Backing-I
I	Backing-I
found	Backing-I
it	Backing-I
lacked	Backing-I
the	Backing-I
diversity	Backing-I
you	Backing-I
get	Backing-I
in	Backing-I
a	Backing-I
co-ed	Backing-I
environment	Backing-I
.	Backing-I
I	Premise-B
found	Premise-I
the	Premise-I
attitude	Premise-I
and	Premise-I
behaviour	Premise-I
of	Premise-I
students	Premise-I
in	Premise-I
the	Premise-I
co	Premise-I
ed	Premise-I
school	Premise-I
to	Premise-I
be	Premise-I
better	Premise-I
,	Premise-I
and	Premise-I
i	Premise-I
attribute	Premise-I
that	Premise-I
to	Premise-I
the	Premise-I
influence	Premise-I
of	Premise-I
the	Premise-I
opposite	Premise-I
sex	Premise-I
.	Premise-I
There	Premise-B
'	Premise-I
s	Premise-I
no	Premise-I
doubt	Premise-I
boys	Premise-I
behave	Premise-I
a	Premise-I
little	Premise-I
different	Premise-I
when	Premise-I
girls	Premise-I
are	Premise-I
watching	Premise-I
,	Premise-I
and	Premise-I
i	Premise-I
also	Premise-I
found	Premise-I
boys	Premise-I
were	Premise-I
quite	Premise-I
good	Premise-I
at	Premise-I
limiting	Premise-I
the	Premise-I
bitchyness	Premise-I
girls	Premise-I
are	Premise-I
renowned	Premise-I
for	Premise-I
.	Premise-I
So	Premise-I
both	Premise-I
kept	Premise-I
one	Premise-I
another	Premise-I
in	Premise-I
line	Premise-I
,	Premise-I
and	Premise-I
made	Premise-I
for	Premise-I
a	Premise-I
more	Premise-I
positive	Premise-I
and	Premise-I
dynamic	Premise-I
environment	Premise-I
.	Premise-I
I	Premise-B
also	Premise-I
think	Premise-I
there	Premise-I
'	Premise-I
s	Premise-I
a	Premise-I
few	Premise-I
extra	Premise-I
life	Premise-I
lessons	Premise-I
and	Premise-I
skills	Premise-I
children	Premise-I
can	Premise-I
learn	Premise-I
at	Premise-I
co	Premise-I
ed	Premise-I
schools	Premise-I
.	Premise-I
Dating	Premise-I
,	Premise-I
relationships	Premise-I
,	Premise-I
interacting	Premise-I
with	Premise-I
the	Premise-I
opposite	Premise-I
sex	Premise-I
,	Premise-I
i	Premise-I
think	Premise-I
children	Premise-I
at	Premise-I
co	Premise-I
ed	Premise-I
schools	Premise-I
tend	Premise-I
to	Premise-I
have	Premise-I
a	Premise-I
far	Premise-I
better	Premise-I
grasp	Premise-I
of	Premise-I
these	Premise-I
skills	Premise-I
then	Premise-I
students	Premise-I
who	Premise-I
'	Premise-I
ve	Premise-I
only	Premise-I
attended	Premise-I
same	Premise-I
sex	Premise-I
schools	Premise-I
.	Premise-I
