Most	Backing-B
of	Backing-I
the	Backing-I
people	Backing-I
I	Backing-I
have	Backing-I
spoken	Backing-I
to	Backing-I
who	Backing-I
have	Backing-I
attended	Backing-I
an	Backing-I
all-girls	Backing-I
school	Backing-I
would	Backing-I
have	Backing-I
chosen	Backing-I
to	Backing-I
go	Backing-I
co-ed	Backing-I
had	Backing-I
they	Backing-I
been	Backing-I
given	Backing-I
another	Backing-I
chance	Backing-I
.	Backing-I
I	Backing-I
myself	Backing-I
went	Backing-I
to	Backing-I
a	Backing-I
co-ed	Backing-I
,	Backing-I
and	Backing-I
am	Backing-I
so	Backing-I
glad	Backing-I
I	Backing-I
was	Backing-I
able	Backing-I
to	Backing-I
–	Backing-I
I	Backing-I
only	Backing-I
had	Backing-I
a	Backing-I
few	Backing-I
close	Backing-I
female	Backing-I
friends	Backing-I
,	Backing-I
because	Backing-I
I	Backing-I
was	Backing-I
way	Backing-I
more	Backing-I
comfortable	Backing-I
hanging	Backing-I
out	Backing-I
with	Backing-I
the	Backing-I
boys	Backing-I
–	Backing-I
I	Backing-I
just	Backing-I
preferred	Backing-I
playing	Backing-I
sport	Backing-I
during	Backing-I
breaks	Backing-I
than	Backing-I
gossiping	Backing-I
about	Backing-I
what	Backing-I
happened	Backing-I
over	Backing-I
the	Backing-I
weekend	Backing-I
.	Backing-I
The	Backing-I
girls	Backing-I
in	Backing-I
my	Backing-I
year	Backing-I
just	Backing-I
had	Backing-I
entirely	Backing-I
different	Backing-I
interests	Backing-I
.	Backing-I
In	O
terms	O
of	O
results	O
;	O
I	O
really	O
think	O
it	O
'	O
s	O
mostly	O
up	O
to	O
the	O
individual	O
and	O
how	O
driven	O
they	O
are	O
,	O
coupled	O
together	O
with	O
a	O
good	O
teacher	O
,	O
as	O
to	O
whether	O
or	O
not	O
they	O
do	O
well	O
.	O
I	Premise-B
think	Premise-I
the	Premise-I
social	Premise-I
aspect	Premise-I
of	Premise-I
co-education	Premise-I
outweighs	Premise-I
the	Premise-I
potential	Premise-I
distractions	Premise-I
;	Premise-I
at	Premise-I
the	Premise-I
end	Premise-I
of	Premise-I
6	Premise-I
years	Premise-I
,	Premise-I
you	Premise-I
come	Premise-I
out	Premise-I
with	Premise-I
a	Premise-I
study	Premise-I
score	Premise-I
,	Premise-I
but	Premise-I
once	Premise-I
you	Premise-I
have	Premise-I
that	Premise-I
,	Premise-I
I	Premise-I
think	Premise-I
the	Premise-I
memories	Premise-I
and	Premise-I
friendships	Premise-I
you	Premise-I
got	Premise-I
out	Premise-I
of	Premise-I
those	Premise-I
6	Premise-I
years	Premise-I
become	Premise-I
much	Premise-I
more	Premise-I
important	Premise-I
,	Premise-I
and	Premise-I
I	Premise-I
can	Premise-I
'	Premise-I
t	Premise-I
imagine	Premise-I
having	Premise-I
as	Premise-I
good	Premise-I
an	Premise-I
experience	Premise-I
had	Premise-I
I	Premise-I
gone	Premise-I
to	Premise-I
an	Premise-I
all-girls	Premise-I
school	Premise-I
.	Premise-I
