Single	Claim-B
sex	Claim-I
education	Claim-I
has	Claim-I
been	Claim-I
very	Claim-I
good	Claim-I
for	Claim-I
girls	Claim-I
,	Claim-I
especially	Claim-I
.	Claim-I
Look	Premise-B
at	Premise-I
the	Premise-I
women	Premise-I
leaders	Premise-I
in	Premise-I
this	Premise-I
country	Premise-I
and	Premise-I
you	Premise-I
will	Premise-I
find	Premise-I
that	Premise-I
they	Premise-I
are	Premise-I
products	Premise-I
of	Premise-I
single	Premise-I
sex	Premise-I
educational	Premise-I
institutions	Premise-I
.	Premise-I
