There	Rebuttal-B
are	Rebuttal-I
serious	Rebuttal-I
problems	Rebuttal-I
in	Rebuttal-I
our	Rebuttal-I
public	Rebuttal-I
schools	Rebuttal-I
.	Rebuttal-I
They	Refutation-B
are	Refutation-I
still	Refutation-I
usually	Refutation-I
better	Refutation-I
than	Refutation-I
parents	Refutation-I
who	Refutation-I
have	Refutation-I
other	Refutation-I
things	Refutation-I
to	Refutation-I
do	Refutation-I
and	Refutation-I
who	Refutation-I
ignore	Refutation-I
the	Refutation-I
daily	Refutation-I
chore	Refutation-I
of	Refutation-I
teaching	Refutation-I
their	Refutation-I
kids	Refutation-I
schoolwork	Refutation-I
.	Refutation-I
If	O
you	O
honestly	O
think	O
your	O
kids	O
will	O
be	O
permanently	O
damaged	O
by	O
learning	O
about	O
evolution	O
,	O
get	O
a	O
grip	O
.	O
The	O
parents	O
can	O
talk	O
to	O
their	O
kids	O
about	O
evolution	O
and	O
explain	O
that	O
they	O
do	O
not	O
believe	O
that	O
evolution	O
ever	O
happened	O
;	O
they	O
can	O
try	O
to	O
push	O
the	O
creation	O
theory	O
and	O
see	O
where	O
they	O
end	O
up	O
.	O
Parents	O
have	O
all	O
the	O
years	O
before	O
the	O
kids	O
start	O
school	O
in	O
which	O
to	O
indoctrinate	O
litt	O
