Sending	Claim-B
your	Claim-I
child	Claim-I
to	Claim-I
a	Claim-I
private	Claim-I
school	Claim-I
is	Claim-I
one	Claim-I
of	Claim-I
the	Claim-I
best	Claim-I
things	Claim-I
you	Claim-I
can	Claim-I
do	Claim-I
for	Claim-I
them	Claim-I
.	Claim-I
The	Premise-B
teachers	Premise-I
do	Premise-I
not	Premise-I
open	Premise-I
up	Premise-I
a	Premise-I
text	Premise-I
book	Premise-I
and	Premise-I
teach	Premise-I
every	Premise-I
child	Premise-I
the	Premise-I
same	Premise-I
way	Premise-I
.	Premise-I
Private	Premise-I
teachers	Premise-I
have	Premise-I
more	Premise-I
passion	Premise-I
about	Premise-I
teaching	Premise-I
because	Premise-I
they	Premise-I
are	Premise-I
free	Premise-I
to	Premise-I
write	Premise-I
their	Premise-I
own	Premise-I
curriculum	Premise-I
for	Premise-I
each	Premise-I
child	Premise-I
based	Premise-I
on	Premise-I
developmental	Premise-I
assessments	Premise-I
and	Premise-I
achievements	Premise-I
to	Premise-I
where	Premise-I
each	Premise-I
child	Premise-I
is	Premise-I
learning	Premise-I
at	Premise-I
the	Premise-I
level	Premise-I
they	Premise-I
need	Premise-I
to	Premise-I
be	Premise-I
at	Premise-I
and	Premise-I
not	Premise-I
just	Premise-I
a	Premise-I
class	Premise-I
as	Premise-I
a	Premise-I
whole	Premise-I
.	Premise-I
Children	Premise-B
in	Premise-I
the	Premise-I
public	Premise-I
school	Premise-I
systems	Premise-I
ARE	Premise-I
left	Premise-I
behind	Premise-I
,	Premise-I
bullied	Premise-I
,	Premise-I
and	Premise-I
not	Premise-I
challenged	Premise-I
enough	Premise-I
in	Premise-I
their	Premise-I
own	Premise-I
learning	Premise-I
capabilities	Premise-I
.	Premise-I
When	O
your	O
public	O
school	O
system	O
ranks	O
#50	O
in	O
the	O
nation	O
you	O
tell	O
me	O
,	O
would	O
you	O
rather	O
send	O
your	O
child	O
to	O
public	O
school	O
or	O
honor	O
them	O
with	O
attending	O
a	O
private	O
school	O
?	O
