I	Claim-B
agree	Claim-I
-	Claim-I
Kids	Claim-I
can	Claim-I
do	Claim-I
great	Claim-I
in	Claim-I
the	Claim-I
public	Claim-I
school	Claim-I
system	Claim-I
and	Claim-I
parents	Claim-I
DO	Claim-I
need	Claim-I
to	Claim-I
be	Claim-I
involved	Claim-I
.	Claim-I
The	O
more	O
people	O
leave	O
,	O
the	O
worse	O
its	O
going	O
to	O
become	O
.	O
The	Premise-B
public	Premise-I
school	Premise-I
system	Premise-I
lets	Premise-I
them	Premise-I
deal	Premise-I
with	Premise-I
real	Premise-I
life	Premise-I
too	Premise-I
,	Premise-I
unfortunate	Premise-I
that	Premise-I
it	Premise-I
may	Premise-I
be	Premise-I
but	Premise-I
that	Premise-I
is	Premise-I
what	Premise-I
'	Premise-I
s	Premise-I
out	Premise-I
there	Premise-I
in	Premise-I
college	Premise-I
and	Premise-I
the	Premise-I
work	Premise-I
force	Premise-I
too	Premise-I
.	Premise-I
There	Premise-B
are	Premise-I
still	Premise-I
great	Premise-I
teachers	Premise-I
in	Premise-I
the	Premise-I
public	Premise-I
schools	Premise-I
-	Premise-I
lets	Premise-I
stand	Premise-I
behind	Premise-I
them	Premise-I
.	Premise-I
