Private	Claim-B
schools	Claim-I
succeed	Claim-I
where	Claim-I
public	Claim-I
schools	Claim-I
fail	Claim-I
largely	Claim-I
because	O
in	Premise-B
a	Premise-I
public	Premise-I
school	Premise-I
the	Premise-I
teacher	Premise-I
'	Premise-I
s	Premise-I
hands	Premise-I
are	Premise-I
tied	Premise-I
by	Premise-I
politically	Premise-I
correct	Premise-I
nonsense	Premise-I
.	Premise-I
They	Premise-I
cannot	Premise-I
correct	Premise-I
errors	Premise-I
,	Premise-I
cannot	Premise-I
encourage	Premise-I
high	Premise-I
achievers	Premise-I
for	Premise-I
fear	Premise-I
of	Premise-I
upsetting	Premise-I
the	Premise-I
regular	Premise-I
students	Premise-I
,	Premise-I
assign	Premise-I
homework	Premise-I
,	Premise-I
or	Premise-I
expect	Premise-I
respect	Premise-I
from	Premise-I
the	Premise-I
students	Premise-I
.	Premise-I
The	Premise-I
inmates	Premise-I
are	Premise-I
running	Premise-I
the	Premise-I
asylum	Premise-I
in	Premise-I
many	Premise-I
public	Premise-I
schools	Premise-I
.	Premise-I
