People	Backing-B
sending	Backing-I
their	Backing-I
kids	Backing-I
to	Backing-I
private	Backing-I
schools	Backing-I
and	Backing-I
homeschooling	Backing-I
actual	Backing-I
helps	Backing-I
the	Backing-I
public	Backing-I
schools	Backing-I
.	Backing-I
These	Backing-I
parents	Backing-I
are	Backing-I
paying	Backing-I
for	Backing-I
public	Backing-I
schools	Backing-I
as	Backing-I
well	Backing-I
with	Backing-I
tax	Backing-I
dollars	Backing-I
.	Backing-I
By	Premise-B
helping	Premise-I
pay	Premise-I
for	Premise-I
it	Premise-I
,	Premise-I
but	Premise-I
not	Premise-I
sending	Premise-I
their	Premise-I
children	Premise-I
there	Premise-I
,	Premise-I
they	Premise-I
are	Premise-I
increasing	Premise-I
the	Premise-I
amount	Premise-I
of	Premise-I
funds	Premise-I
that	Premise-I
are	Premise-I
available	Premise-I
per	Premise-I
student	Premise-I
.	Premise-I
