Having	Backing-B
sent	Backing-I
my	Backing-I
children	Backing-I
to	Backing-I
both	Backing-I
public	Backing-I
and	Backing-I
private	Backing-I
schools	Backing-I
,	Backing-I
I	Claim-B
prefer	Claim-I
private	Claim-I
schools	Claim-I
.	Claim-I
They	Premise-B
get	Premise-I
a	Premise-I
better	Premise-I
education	Premise-I
and	Premise-I
they	Premise-I
are	Premise-I
safer	Premise-I
from	Premise-I
acts	Premise-I
of	Premise-I
violence	Premise-I
.	Premise-I
Public	Premise-I
schools	Premise-I
have	Premise-I
become	Premise-I
more	Premise-I
interested	Premise-I
in	Premise-I
political	Premise-I
correctness	Premise-I
than	Premise-I
in	Premise-I
education	Premise-I
and	Premise-I
there	Premise-I
is	Premise-I
too	Premise-I
little	Premise-I
control	Premise-I
over	Premise-I
violence	Premise-I
.	Premise-I
