Tried	Backing-B
hard	Backing-I
to	Backing-I
change	Backing-I
the	Backing-I
public	Backing-I
system	Backing-I
.	Backing-I
Too	Premise-B
many	Premise-I
liberals	Premise-I
who	Premise-I
have	Premise-I
been	Premise-I
indoctrinated	Premise-I
by	Premise-I
public	Premise-I
universities	Premise-I
that	Premise-I
have	Premise-I
no	Premise-I
standards	Premise-I
of	Premise-I
right	Premise-I
and	Premise-I
wrong	Premise-I
or	Premise-I
decent	Premise-I
and	Premise-I
immoral	Premise-I
.	Premise-I
It	Premise-B
is	Premise-I
a	Premise-I
totally	Premise-I
deteriorated	Premise-I
system	Premise-I
,	Premise-I
it	Premise-I
needs	Premise-I
to	Premise-I
be	Premise-I
torn	Premise-I
down	Premise-I
and	Premise-I
start	Premise-I
over	Premise-I
with	Premise-I
the	Premise-I
same	Premise-I
kind	Premise-I
of	Premise-I
private	Premise-I
education	Premise-I
that	Premise-I
made	Premise-I
this	Premise-I
country	Premise-I
great	Premise-I
in	Premise-I
the	Premise-I
first	Premise-I
place	Premise-I
.	Premise-I
