There	Premise-B
is	Premise-I
no	Premise-I
education	Premise-I
in	Premise-I
public	Premise-I
schools	Premise-I
any	Premise-I
more	Premise-I
!	Premise-I
The	Premise-I
government	Premise-I
,	Premise-I
teachers	Premise-I
unions	Premise-I
and	Premise-I
political	Premise-I
correctness	Premise-I
has	Premise-I
killed	Premise-I
them	Premise-I
.	Premise-I
If	Claim-B
you	Claim-I
want	Claim-I
you	Claim-I
children	Claim-I
to	Claim-I
get	Claim-I
a	Claim-I
good	Claim-I
education	Claim-I
,	Claim-I
private	Claim-I
is	Claim-I
the	Claim-I
only	Claim-I
way	Claim-I
to	Claim-I
do	Claim-I
it	Claim-I
!	Claim-I
And	O
no	O
I	O
don	O
'	O
t	O
feel	O
guilty	O
when	O
I	O
vote	O
no	O
on	O
tax	O
increases	O
for	O
their	O
budget	O
.	O
Throwing	O
good	O
money	O
after	O
bad	O
never	O
works	O
.	O
Just	O
look	O
at	O
how	O
our	O
government	O
is	O
run	O
now	O
.	O
Most	O
wasteful	O
in	O
history	O
!	O
