My	Backing-B
parents	Backing-I
decided	Backing-I
to	Backing-I
Homeschool	Backing-I
me	Backing-I
(	Backing-I
and	Backing-I
the	Backing-I
rest	Backing-I
of	Backing-I
my	Backing-I
siblings	Backing-I
)	Backing-I
because	O
they	Premise-B
did	Premise-I
not	Premise-I
want	Premise-I
me	Premise-I
exposed	Premise-I
to	Premise-I
all	Premise-I
of	Premise-I
the	Premise-I
crap	Premise-I
that	Premise-I
goes	Premise-I
on	Premise-I
in	Premise-I
public	Premise-I
schools	Premise-I
.	Premise-I
All	Premise-I
the	Premise-I
drugs	Premise-I
,	Premise-I
swearing	Premise-I
,	Premise-I
bullying	Premise-I
,	Premise-I
condoms	Premise-I
being	Premise-I
handed	Premise-I
out	Premise-I
to	Premise-I
young	Premise-I
children	Premise-I
who	Premise-I
shouldn	Premise-I
'	Premise-I
t	Premise-I
even	Premise-I
know	Premise-I
what	Premise-I
sex	Premise-I
is	Premise-I
yet	Premise-I
,	Premise-I
evolution	Premise-I
.	Premise-I
etc	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
why	O
would	O
you	O
put	O
your	O
child	O
in	O
that	O
situation	O
?	O
(	O
No	O
offense	O
to	O
anyone	O
here	O
,	O
don	O
'	O
t	O
take	O
this	O
wrongly	O
.	O
)	O
http://www.youtube.com/watch?feature=player_embedded&v=1JJW-JgHVac	O
This	O
film	O
changed	O
my	O
perspective	O
on	O
public	O
schools	O
tremendously	O
.	O
Here	O
is	O
the	O
preview	O
.	O
But	O
besides	O
that	O
,	O
God	O
has	O
commanded	O
us	O
to	O
train	O
up	O
our	O
children	O
,	O
not	O
give	O
them	O
to	O
someone	O
else	O
where	O
you	O
have	O
no	O
control	O
over	O
what	O
they	O
are	O
taught	O
.	O
And	O
what	O
they	O
are	O
taught	O
is	O
directly	O
against	O
him	O
.	O
Perhaps	Rebuttal-B
some	Rebuttal-I
Homeschool	Rebuttal-I
kids	Rebuttal-I
are	Rebuttal-I
'	Rebuttal-I
awkward	Rebuttal-I
"	Rebuttal-I
and	Rebuttal-I
all	Rebuttal-I
that	Rebuttal-I
,	Rebuttal-I
but	O
all	Refutation-B
the	Refutation-I
ones	Refutation-I
I	Refutation-I
know	Refutation-I
,	Refutation-I
are	Refutation-I
not	Refutation-I
.	Refutation-I
My	Backing-B
friend	Backing-I
and	Backing-I
her	Backing-I
family	Backing-I
are	Backing-I
Homeschoolers	Backing-I
and	Backing-I
they	Backing-I
are	Backing-I
all	Backing-I
friendly	Backing-I
and	Backing-I
funny	Backing-I
and	Backing-I
wonderfully	Backing-I
nice	Backing-I
people	Backing-I
.	Backing-I
My	Backing-I
other	Backing-I
friend	Backing-I
is	Backing-I
super-mega	Backing-I
smart	Backing-I
and	Backing-I
got	Backing-I
a	Backing-I
fantastic	Backing-I
education	Backing-I
.	Backing-I
She	Backing-I
ended	Backing-I
up	Backing-I
going	Backing-I
to	Backing-I
be	Backing-I
a	Backing-I
Missionary	Backing-I
/	Backing-I
English	Backing-I
teacher	Backing-I
.	Backing-I
Her	Backing-I
sister	Backing-I
,	Backing-I
in	Backing-I
college	Backing-I
now	Backing-I
,	Backing-I
and	Backing-I
she	Backing-I
'	Backing-I
s	Backing-I
such	Backing-I
a	Backing-I
sweet	Backing-I
person	Backing-I
.	Backing-I
None	Backing-I
of	Backing-I
my	Backing-I
friends	Backing-I
or	Backing-I
siblings	Backing-I
are	Backing-I
messed	Backing-I
up	Backing-I
,	Backing-I
because	Backing-I
they	Backing-I
have	Backing-I
been	Backing-I
taught	Backing-I
well	Backing-I
.	Backing-I
I	O
don	O
'	O
t	O
agree	O
with	O
overprotectiveness	O
but	O
I	O
do	O
agree	O
with	O
parents	O
doing	O
their	O
jobs	O
.	O
Being	O
parents	O
.	O
"	O
To	O
control	O
the	O
future	O
requires	O
the	O
control	O
of	O
education	O
and	O
of	O
the	O
child	O
.	O
Hence	O
,	O
for	O
Christians	O
to	O
tolerate	O
statist	O
education	O
,	O
or	O
to	O
allow	O
their	O
children	O
to	O
be	O
trained	O
thereby	O
,	O
means	O
to	O
renounce	O
power	O
in	O
society	O
,	O
to	O
renounce	O
their	O
children	O
,	O
and	O
to	O
deny	O
Christ	O
'	O
s	O
Lordship	O
over	O
all	O
of	O
life	O
.	O
”	O
―	O
R	O
.	O
J	O
.	O
Rushdoony	O
http://www.youtube.com/watch?feature=player_embedded&v=Lq_tcyPV7Vg	O
