I	Rebuttal-B
have	Rebuttal-I
been	Rebuttal-I
a	Rebuttal-I
long	Rebuttal-I
term	Rebuttal-I
defender	Rebuttal-I
of	Rebuttal-I
public	Rebuttal-I
education	Rebuttal-I
-	Rebuttal-I
although	Rebuttal-I
fortunately	Rebuttal-I
have	Rebuttal-I
the	Rebuttal-I
advantage	Rebuttal-I
of	Rebuttal-I
living	Rebuttal-I
in	Rebuttal-I
a	Rebuttal-I
higher	Rebuttal-I
SES	Rebuttal-I
area	Rebuttal-I
where	Rebuttal-I
the	Rebuttal-I
public	Rebuttal-I
schools	Rebuttal-I
are	Rebuttal-I
relatively	Rebuttal-I
well	Rebuttal-I
resourced	Rebuttal-I
.	Rebuttal-I
Made	Premise-B
the	Premise-I
decision	Premise-I
this	Premise-I
year	Premise-I
to	Premise-I
move	Premise-I
eldest	Premise-I
child	Premise-I
out	Premise-I
of	Premise-I
the	Premise-I
public	Premise-I
system	Premise-I
and	Premise-I
into	Premise-I
a	Premise-I
Catholic	Premise-I
private	Premise-I
school	Premise-I
as	Premise-I
really	Premise-I
felt	Premise-I
that	Premise-I
the	Premise-I
large	Premise-I
public	Premise-I
high	Premise-I
school	Premise-I
didn	Premise-I
'	Premise-I
t	Premise-I
have	Premise-I
its	Premise-I
eye	Premise-I
on	Premise-I
the	Premise-I
ball	Premise-I
when	Premise-I
it	Premise-I
came	Premise-I
to	Premise-I
student	Premise-I
welfare	Premise-I
,	Premise-I
particularly	Premise-I
in	Premise-I
relation	Premise-I
to	Premise-I
bullying	Premise-I
between	Premise-I
the	Premise-I
boys	Premise-I
and	Premise-I
self	Premise-I
harming	Premise-I
and	Premise-I
worrying	Premise-I
attitudes	Premise-I
to	Premise-I
eating	Premise-I
amongst	Premise-I
the	Premise-I
girls	Premise-I
.	Premise-I
Also	Premise-B
,	Premise-I
while	Premise-I
academic	Premise-I
standards	Premise-I
were	Premise-I
high	Premise-I
,	Premise-I
it	Premise-I
was	Premise-I
very	Premise-I
much	Premise-I
a	Premise-I
'	Premise-I
survival	Premise-I
of	Premise-I
the	Premise-I
fittest	Premise-I
'	Premise-I
type	Premise-I
attitude	Premise-I
which	Premise-I
posed	Premise-I
challenges	Premise-I
for	Premise-I
our	Premise-I
bright	Premise-I
but	Premise-I
sensitive	Premise-I
daughter	Premise-I
.	Premise-I
We	Premise-B
are	Premise-I
finding	Premise-I
the	Premise-I
Catholic	Premise-I
school	Premise-I
much	Premise-I
kinder	Premise-I
and	Premise-I
more	Premise-I
supportive	Premise-I
on	Premise-I
the	Premise-I
whole	Premise-I
and	Premise-I
also	Premise-I
,	Premise-I
surprisingly	Premise-I
,	Premise-I
stronger	Premise-I
on	Premise-I
things	Premise-I
like	Premise-I
social	Premise-I
justice	Premise-I
and	Premise-I
inclusion	Premise-I
of	Premise-I
students	Premise-I
with	Premise-I
disabilities	Premise-I
and	Premise-I
that	Premise-I
type	Premise-I
of	Premise-I
thing	Premise-I
.	Premise-I
