You	Claim-B
are	Claim-I
a	Claim-I
bad	Claim-I
person	Claim-I
if	Claim-I
you	Claim-I
send	Claim-I
your	Claim-I
children	Claim-I
to	Claim-I
private	Claim-I
school	Claim-I
.	Claim-I
Not	O
bad	O
like	O
murderer	O
bad—but	O
bad	O
like	O
ruining-one-of-our-nation	O
’	O
s-most-essential-institutions-in-order-to-get-what	O
’	O
s-best-for-your-kid	O
bad	O
.	O
So	O
,	O
pretty	O
bad	O
.	O
I	O
am	O
not	O
an	O
education	O
policy	O
wonk	O
:	O
I	O
’	O
m	O
just	O
judgmental	O
.	O
But	O
it	O
seems	O
to	O
me	O
that	O
if	O
every	O
single	O
parent	O
sent	O
every	O
single	O
child	O
to	O
public	O
school	O
,	O
public	O
schools	O
would	O
improve	O
.	O
This	O
would	O
not	O
happen	O
immediately	O
.	O
It	O
could	O
take	O
generations	O
.	O
Your	O
children	O
and	O
grandchildren	O
might	O
get	O
mediocre	O
educations	O
in	O
the	O
meantime	O
,	O
but	O
it	O
will	O
be	O
worth	O
it	O
,	O
for	O
the	O
eventual	O
common	O
good	O
.	O
(	O
Yes	O
,	O
rich	O
people	O
might	O
cluster	O
.	O
But	O
rich	O
people	O
will	O
always	O
find	O
a	O
way	O
to	O
game	O
the	O
system	O
:	O
That	O
shouldn	O
’	O
t	O
be	O
an	O
argument	O
against	O
an	O
all-in	O
approach	O
to	O
public	O
education	O
any	O
more	O
than	O
it	O
is	O
a	O
case	O
against	O
single-payer	O
health	O
care	O
.	O
)	O
So	O
,	O
how	O
would	O
this	O
work	O
exactly	O
?	O
It	O
’	O
s	O
simple	O
!	O
Everyone	O
needs	O
to	O
be	O
invested	O
in	O
our	O
public	O
schools	O
in	O
order	O
for	O
them	O
to	O
get	O
better	O
.	O
Not	O
just	O
lip-service	O
investment	O
,	O
or	O
property	O
tax	O
investment	O
,	O
but	O
real	O
flesh-and-blood-offspring	O
investment	O
.	O
Your	O
local	O
school	O
stinks	O
but	O
you	O
don	O
’	O
t	O
send	O
your	O
child	O
there	O
?	O
Then	O
its	O
badness	O
is	O
just	O
something	O
you	O
deplore	O
in	O
the	O
abstract	O
.	O
Your	O
local	O
school	O
stinks	O
and	O
you	O
do	O
send	O
your	O
child	O
there	O
?	O
I	O
bet	O
you	O
are	O
going	O
to	O
do	O
everything	O
within	O
your	O
power	O
to	O
make	O
it	O
better	O
.	O
And	O
parents	O
have	O
a	O
lot	O
of	O
power	O
.	O
In	O
many	O
underresourced	O
schools	O
,	O
it	O
’	O
s	O
the	O
aggressive	O
PTAs	O
that	O
raise	O
the	O
money	O
for	O
enrichment	O
programs	O
and	O
willful	O
parents	O
who	O
get	O
in	O
the	O
administration	O
’	O
s	O
face	O
when	O
a	O
teacher	O
is	O
falling	O
down	O
on	O
the	O
job	O
.	O
Everyone	O
,	O
all	O
in	O
.	O
(	O
By	O
the	O
way	O
:	O
Banning	O
private	O
schools	O
isn	O
’	O
t	O
the	O
answer	O
.	O
We	O
need	O
a	O
moral	O
adjustment	O
,	O
not	O
a	O
legislative	O
one	O
.	O
)	O
There	Rebuttal-B
are	Rebuttal-I
a	Rebuttal-I
lot	Rebuttal-I
of	Rebuttal-I
reasons	Rebuttal-I
why	Rebuttal-I
bad	Rebuttal-I
people	Rebuttal-I
send	Rebuttal-I
their	Rebuttal-I
kids	Rebuttal-I
to	Rebuttal-I
private	Rebuttal-I
school	Rebuttal-I
.	Rebuttal-I
Yes	Rebuttal-I
,	Rebuttal-I
some	Rebuttal-I
do	Rebuttal-I
it	Rebuttal-I
for	Rebuttal-I
prestige	Rebuttal-I
or	Rebuttal-I
out	Rebuttal-I
of	Rebuttal-I
loyalty	Rebuttal-I
to	Rebuttal-I
a	Rebuttal-I
long-standing	Rebuttal-I
family	Rebuttal-I
tradition	Rebuttal-I
or	Rebuttal-I
because	Rebuttal-I
they	Rebuttal-I
want	Rebuttal-I
their	Rebuttal-I
children	Rebuttal-I
to	Rebuttal-I
eventually	Rebuttal-I
work	Rebuttal-I
at	Rebuttal-I
Slate	Rebuttal-I
.	Rebuttal-I
But	Rebuttal-I
many	Rebuttal-I
others	Rebuttal-I
go	Rebuttal-I
private	Rebuttal-I
for	Rebuttal-I
religious	Rebuttal-I
reasons	Rebuttal-I
,	Rebuttal-I
or	Rebuttal-I
because	Rebuttal-I
their	Rebuttal-I
kids	Rebuttal-I
have	Rebuttal-I
behavioral	Rebuttal-I
or	Rebuttal-I
learning	Rebuttal-I
issues	Rebuttal-I
,	Rebuttal-I
or	Rebuttal-I
simply	Rebuttal-I
because	Rebuttal-I
the	Rebuttal-I
public	Rebuttal-I
school	Rebuttal-I
in	Rebuttal-I
their	Rebuttal-I
district	Rebuttal-I
is	Rebuttal-I
not	Rebuttal-I
so	Rebuttal-I
hot	Rebuttal-I
.	Rebuttal-I
None	Refutation-B
of	Refutation-I
these	Refutation-I
are	Refutation-I
compelling	Refutation-I
reasons	Refutation-I
.	Refutation-I
Or	O
,	O
rather	O
,	O
the	O
compelling	O
ones	O
(	O
behavioral	O
or	O
learning	O
issues	O
,	O
wanting	O
a	O
not-subpar	O
school	O
for	O
your	O
child	O
)	O
are	O
exactly	O
why	O
we	O
should	O
all	O
opt	O
in	O
,	O
not	O
out	O
.	O
I	O
believe	O
in	O
public	O
education	O
,	O
but	O
my	O
district	O
school	O
really	O
isn	O
’	O
t	O
good	O
!	O
you	O
might	O
say	O
.	O
I	O
understand	O
.	O
You	Premise-B
want	Premise-I
the	Premise-I
best	Premise-I
for	Premise-I
your	Premise-I
child	Premise-I
,	Premise-I
but	Premise-I
your	Premise-I
child	Premise-I
doesn	Premise-I
’	Premise-I
t	Premise-I
need	Premise-I
it	Premise-I
.	Premise-I
If	Premise-I
you	Premise-I
can	Premise-I
afford	Premise-I
private	Premise-I
school	Premise-I
(	Premise-I
even	Premise-I
if	Premise-I
affording	Premise-I
means	Premise-I
scrimping	Premise-I
and	Premise-I
saving	Premise-I
,	Premise-I
or	Premise-I
taking	Premise-I
out	Premise-I
loans	Premise-I
)	Premise-I
,	Premise-I
chances	Premise-I
are	Premise-I
that	Premise-I
your	Premise-I
spawn	Premise-I
will	Premise-I
be	Premise-I
perfectly	Premise-I
fine	Premise-I
at	Premise-I
a	Premise-I
crappy	Premise-I
public	Premise-I
school	Premise-I
.	Premise-I
She	Premise-I
will	Premise-I
have	Premise-I
support	Premise-I
at	Premise-I
home	Premise-I
(	Premise-I
that	Premise-I
’	Premise-I
s	Premise-I
you	Premise-I
!	Premise-I
)	Premise-I
and	Premise-I
all	Premise-I
the	Premise-I
advantages	Premise-I
that	Premise-I
go	Premise-I
along	Premise-I
with	Premise-I
being	Premise-I
a	Premise-I
person	Premise-I
whose	Premise-I
family	Premise-I
can	Premise-I
pay	Premise-I
for	Premise-I
and	Premise-I
cares	Premise-I
about	Premise-I
superior	Premise-I
education—the	Premise-I
exact	Premise-I
kind	Premise-I
of	Premise-I
family	Premise-I
that	Premise-I
can	Premise-I
help	Premise-I
your	Premise-I
crappy	Premise-I
public	Premise-I
school	Premise-I
become	Premise-I
less	Premise-I
crappy	Premise-I
.	Premise-I
She	Premise-I
may	Premise-I
not	Premise-I
learn	Premise-I
as	Premise-I
much	Premise-I
or	Premise-I
be	Premise-I
as	Premise-I
challenged	Premise-I
,	Premise-I
but	Premise-I
take	Premise-I
a	Premise-I
deep	Premise-I
breath	Premise-I
and	Premise-I
live	Premise-I
with	Premise-I
that	Premise-I
.	Premise-I
Oh	Premise-I
,	Premise-I
but	Premise-I
she	Premise-I
’	Premise-I
s	Premise-I
gifted	Premise-I
?	Premise-I
Well	Premise-I
,	Premise-I
then	Premise-I
,	Premise-I
she	Premise-I
’	Premise-I
ll	Premise-I
really	Premise-I
be	Premise-I
fine	Premise-I
.	Premise-I
I	Backing-B
went	Backing-I
K–12	Backing-I
