It	Claim-B
doesn	Claim-I
’	Claim-I
t	Claim-I
surprise	Claim-I
me	Claim-I
that	Claim-I
somebody	Claim-I
figured	Claim-I
out	Claim-I
how	Claim-I
to	Claim-I
prove	Claim-I
that	Claim-I
public	Claim-I
schools	Claim-I
outperform	Claim-I
private	Claim-I
schools	Claim-I
.	Claim-I
And	O
it	O
doesn	O
’	O
t	O
surprise	O
me	O
that	O
this	O
seminal	O
study	O
is	O
being	O
ignored	O
by	O
the	O
mainstream	O
news	O
media	O
.	O
As	O
of	O
one	O
day	O
after	O
Atlantic	O
released	O
its	O
article	O
reviewing	O
The	O
Public	O
School	O
Advantage	O
:	O
Why	O
Public	O
Schools	O
Outperform	O
Private	O
Schools	O
,	O
a	O
Google	O
search	O
yielded	O
but	O
one	O
article	O
covering	O
the	O
important	O
findings	O
of	O
authors	O
Sarah	O
Theule	O
Lubienski	O
and	O
Christopher	O
A	O
Lubienski	O
.	O
The	Backing-B
Lubienskis	Backing-I
took	Backing-I
into	Backing-I
the	Backing-I
account	Backing-I
the	Backing-I
effects	Backing-I
of	Backing-I
affluence	Backing-I
,	Backing-I
disabilities	Backing-I
and	Backing-I
other	Backing-I
background	Backing-I
factors	Backing-I
and	Backing-I
found	Backing-I
that	Backing-I
then	Backing-I
public	Backing-I
schools	Backing-I
outperformed	Backing-I
private	Backing-I
schools	Backing-I
over	Backing-I
the	Backing-I
past	Backing-I
twenty	Backing-I
years	Backing-I
.	Backing-I
According	Backing-I
to	Backing-I
Atlantic	Backing-I
,	Backing-I
the	Backing-I
Lubienskis	Backing-I
report	Backing-I
that	Backing-I
the	Backing-I
Educational	Backing-I
Testing	Backing-I
Service	Backing-I
,	Backing-I
Stanford	Backing-I
and	Backing-I
Notre	Backing-I
Dame	Backing-I
all	Backing-I
took	Backing-I
a	Backing-I
look	Backing-I
at	Backing-I
the	Backing-I
same	Backing-I
statistics	Backing-I
—	Backing-I
datasets	Backing-I
they	Backing-I
call	Backing-I
it	Backing-I
—	Backing-I
and	Backing-I
came	Backing-I
to	Backing-I
the	Backing-I
same	Backing-I
conclusions	Backing-I
.	Backing-I
The	Rebuttal-B
Lubienskis	Rebuttal-I
aren	Rebuttal-I
’	Rebuttal-I
t	Rebuttal-I
saying	Rebuttal-I
that	Rebuttal-I
public	Rebuttal-I
school	Rebuttal-I
students	Rebuttal-I
score	Rebuttal-I
higher	Rebuttal-I
,	Rebuttal-I
because	Rebuttal-I
test	Rebuttal-I
comparisons	Rebuttal-I
show	Rebuttal-I
that	Rebuttal-I
the	Rebuttal-I
average	Rebuttal-I
private	Rebuttal-I
school	Rebuttal-I
student	Rebuttal-I
scores	Rebuttal-I
higher	Rebuttal-I
.	Rebuttal-I
But	Refutation-B
the	Refutation-I
private	Refutation-I
school	Refutation-I
student	Refutation-I
is	Refutation-I
likely	Refutation-I
to	Refutation-I
be	Refutation-I
wealthier	Refutation-I
,	Refutation-I
come	Refutation-I
from	Refutation-I
a	Refutation-I
stable	Refutation-I
family	Refutation-I
,	Refutation-I
not	Refutation-I
have	Refutation-I
a	Refutation-I
disability	Refutation-I
and	Refutation-I
not	Refutation-I
have	Refutation-I
suffered	Refutation-I
early	Refutation-I
life	Refutation-I
trauma	Refutation-I
.	Refutation-I
Correct	O
for	O
these	O
factors	O
—	O
in	O
a	O
sense	O
only	O
compare	O
apples	O
that	O
fell	O
from	O
the	O
private	O
school	O
tree	O
with	O
those	O
that	O
fell	O
from	O
the	O
public	O
school	O
tree	O
—	O
and	O
the	O
public	O
school	O
wins	O
hands	O
down	O
.	O
Not	O
only	O
that	O
,	O
but	O
far	O
from	O
the	O
crisis	O
in	O
public	O
education	O
that	O
many	O
see	O
,	O
the	O
Lubienskis	O
make	O
a	O
strong	O
case	O
that	O
public	O
school	O
are	O
doing	O
a	O
fine	O
job	O
educating	O
the	O
youth	O
of	O
America	O
.	O
The	O
results	O
of	O
the	O
study	O
don	O
’	O
t	O
surprise	O
me	O
because	O
I	O
live	O
in	O
the	O
real	O
world	O
,	O
and	O
in	O
the	O
real	O
world	O
the	O
best	O
get	O
paid	O
the	O
most	O
.	O
Now	O
I	O
’	O
m	O
not	O
saying	O
that	O
Alex	O
Rodriguez	O
deserves	O
to	O
make	O
more	O
money	O
than	O
Miguel	O
Cabrera	O
,	O
but	O
that	O
they	O
and	O
every	O
other	O
professional	O
ball	O
player	O
make	O
a	O
lot	O
more	O
money	O
than	O
minor	O
leaguers	O
,	O
those	O
in	O
foreign	O
leagues	O
,	O
semi-pros	O
and	O
beer	O
league	O
softballers	O
.	O
The	O
best	O
lawyers	O
tend	O
to	O
make	O
the	O
most	O
money	O
.	O
The	O
best	O
accountants	O
tend	O
to	O
make	O
the	O
most	O
money	O
.	O
The	O
best	O
writers	O
—	O
business	O
and	O
entertainment	O
—	O
tend	O
to	O
make	O
the	O
most	O
money	O
.	O
The	O
best	O
musicians	O
tend	O
to	O
make	O
the	O
most	O
money	O
.	O
Forget	O
the	O
obscene	O
fact	O
that	O
Beyonce	O
makes	O
about	O
200	O
times	O
what	O
the	O
concertmaster	O
for	O
the	O
New	O
York	O
Philharmonic	O
does	O
,	O
they	O
both	O
do	O
quite	O
well	O
when	O
compared	O
to	O
the	O
average	O
piano	O
teacher	O
who	O
gives	O
lessons	O
through	O
the	O
Jewish	O
Community	O
Center	O
or	O
the	O
YMCA	O
.	O
Public	Premise-B
school	Premise-I
teachers	Premise-I
make	Premise-I
more	Premise-I
money	Premise-I
than	Premise-I
private	Premise-I
school	Premise-I
teachers	Premise-I
.	Premise-I
Doesn	Premise-I
’	Premise-I
t	Premise-I
it	Premise-I
make	Premise-I
sense	Premise-I
that	Premise-I
they	Premise-I
would	Premise-I
therefore	Premise-I
do	Premise-I
