The	Claim-B
public	Claim-I
schooling	Claim-I
system	Claim-I
is	Claim-I
not	Claim-I
as	Claim-I
bad	Claim-I
as	Claim-I
some	Claim-I
may	Claim-I
think	Claim-I
.	Claim-I
Some	Rebuttal-B
mentioned	Rebuttal-I
that	Rebuttal-I
those	Rebuttal-I
who	Rebuttal-I
are	Rebuttal-I
educated	Rebuttal-I
in	Rebuttal-I
the	Rebuttal-I
public	Rebuttal-I
schools	Rebuttal-I
are	Rebuttal-I
less	Rebuttal-I
educated	Rebuttal-I
,	Rebuttal-I
well	Refutation-B
I	Refutation-I
actually	Refutation-I
think	Refutation-I
it	Refutation-I
would	Refutation-I
be	Refutation-I
in	Refutation-I
the	Refutation-I
reverse	Refutation-I
.	Refutation-I
Student	Premise-B
who	Premise-I
study	Premise-I
in	Premise-I
the	Premise-I
private	Premise-I
sector	Premise-I
actually	Premise-I
pay	Premise-I
a	Premise-I
fair	Premise-I
amount	Premise-I
of	Premise-I
fees	Premise-I
to	Premise-I
do	Premise-I
so	Premise-I
and	Premise-I
I	Premise-I
believe	Premise-I
that	Premise-I
the	Premise-I
students	Premise-I
actually	Premise-I
get	Premise-I
let	Premise-I
off	Premise-I
for	Premise-I
a	Premise-I
lot	Premise-I
more	Premise-I
than	Premise-I
anyone	Premise-I
would	Premise-I
in	Premise-I
a	Premise-I
public	Premise-I
school	Premise-I
.	Premise-I
And	Premise-I
its	Premise-I
all	Premise-I
because	Premise-I
of	Premise-I
the	Premise-I
money	Premise-I
.	Premise-I
In	Premise-B
a	Premise-I
private	Premise-I
school	Premise-I
,	Premise-I
a	Premise-I
student	Premise-I
being	Premise-I
expelled	Premise-I
or	Premise-I
suspended	Premise-I
is	Premise-I
not	Premise-I
just	Premise-I
one	Premise-I
student	Premise-I
out	Premise-I
the	Premise-I
door	Premise-I
,	Premise-I
its	Premise-I
the	Premise-I
rest	Premise-I
of	Premise-I
that	Premise-I
students	Premise-I
schooling	Premise-I
life	Premise-I
fees	Premise-I
gone	Premise-I
.	Premise-I
Whereas	Premise-I
in	Premise-I
a	Premise-I
public	Premise-I
school	Premise-I
,	Premise-I
its	Premise-I
just	Premise-I
the	Premise-I
student	Premise-I
gone	Premise-I
.	Premise-I
I	Backing-B
have	Backing-I
always	Backing-I
gone	Backing-I
to	Backing-I
public	Backing-I
schools	Backing-I
and	Backing-I
when	Backing-I
I	Backing-I
finished	Backing-I
I	Backing-I
got	Backing-I
into	Backing-I
University	Backing-I
.	Backing-I
I	Backing-I
do	Backing-I
not	Backing-I
feel	Backing-I
disadvantaged	Backing-I
at	Backing-I
all	Backing-I
.	Backing-I
