It	Rebuttal-B
'	Rebuttal-I
s	Rebuttal-I
certainly	Rebuttal-I
better	Rebuttal-I
than	Rebuttal-I
letting	Rebuttal-I
religion	Rebuttal-I
brainwash	Rebuttal-I
your	Rebuttal-I
children	Rebuttal-I
,	Rebuttal-I
which	Rebuttal-I
seems	Rebuttal-I
to	Rebuttal-I
be	Rebuttal-I
the	Rebuttal-I
other	Rebuttal-I
alternative	Rebuttal-I
.	Rebuttal-I
Granted	Claim-B
,	Claim-I
public	Claim-I
education	Claim-I
,	Claim-I
like	Claim-I
most	Claim-I
other	Claim-I
government	Claim-I
programs	Claim-I
,	Claim-I
is	Claim-I
corrupt	Claim-I
at	Claim-I
it	Claim-I
'	Claim-I
s	Claim-I
core	Claim-I
and	Claim-I
an	Claim-I
administrative	Claim-I
nightmare	Claim-I
,	Claim-I
it	Claim-I
needs	Claim-I
to	Claim-I
be	Claim-I
completely	Claim-I
overhauled	Claim-I
,	Claim-I
but	O
the	O
fact	O
remains	O
that	O
the	O
populace	O
needs	O
to	O
be	O
educated	O
and	O
if	O
not	O
forced	O
by	O
law	O
,	O
a	O
lot	O
of	O
parents	O
simply	O
wouldn	O
'	O
t	O
bother	O
,	O
paying	O
for	O
their	O
kid	O
'	O
s	O
education	O
gets	O
in	O
the	O
way	O
of	O
the	O
new	O
car	O
and	O
the	O
designer	O
jeans	O
.	O
