As	Backing-B
a	Backing-I
teacher	Backing-I
,	Backing-I
this	Backing-I
is	Backing-I
a	Backing-I
moral	Backing-I
and	Backing-I
ethical	Backing-I
struggle	Backing-I
for	Backing-I
me	Backing-I
.	Backing-I
I	Backing-I
have	Backing-I
32	Backing-I
kids	Backing-I
in	Backing-I
one	Backing-I
class	Backing-I
and	Backing-I
an	Backing-I
on	Backing-I
level	Backing-I
class	Backing-I
is	Backing-I
mixed	Backing-I
beyond	Backing-I
belief	Backing-I
.	Backing-I
We	O
have	O
gotten	O
away	O
from	O
this	O
"	O
tracking	O
"	O
mentality	O
,	O
but	O
really	O
,	O
the	O
majority	O
or	O
resource	O
kids	O
I	O
see	O
are	O
no	O
better	O
off	O
.	O
The	Premise-B
resources	Premise-I
teacher	Premise-I
(	Premise-I
their	Premise-I
aid	Premise-I
)	Premise-I
can	Premise-I
'	Premise-I
t	Premise-I
sit	Premise-I
by	Premise-I
there	Premise-I
side	Premise-I
and	Premise-I
give	Premise-I
them	Premise-I
the	Premise-I
help	Premise-I
and	Premise-I
attention	Premise-I
they	Premise-I
need	Premise-I
due	Premise-I
to	Premise-I
confidentiality	Premise-I
.	Premise-I
The	Premise-B
students	Premise-I
can	Premise-I
opt	Premise-I
out	Premise-I
of	Premise-I
their	Premise-I
accomodations	Premise-I
,	Premise-I
and	Premise-I
they	Premise-I
do	Premise-I
to	Premise-I
save	Premise-I
face	Premise-I
,	Premise-I
further	Premise-I
,	Premise-I
they	Premise-I
are	Premise-I
not	Premise-I
only	Premise-I
hurting	Premise-I
themselves	Premise-I
,	Premise-I
but	Premise-I
others	Premise-I
in	Premise-I
the	Premise-I
calss	Premise-I
.	Premise-I
Yes	Premise-I
everyone	Premise-I
can	Premise-I
stand	Premise-I
review	Premise-I
but	Premise-I
at	Premise-I
a	Premise-I
point	Premise-I
you	Premise-I
lose	Premise-I
students	Premise-I
.	Premise-I
Not	Premise-B
surpirsingly	Premise-I
the	Premise-I
worst	Premise-I
behavior	Premise-I
problems	Premise-I
are	Premise-I
lower	Premise-I
potential	Premise-I
and	Premise-I
high	Premise-I
potential	Premise-I
students	Premise-I
.	Premise-I
SO	Premise-I
while	Premise-I
the	Premise-I
lower	Premise-I
performing	Premise-I
student	Premise-I
has	Premise-I
an	Premise-I
aid	Premise-I
,	Premise-I
that	Premise-I
high	Premise-I
performing	Premise-I
student	Premise-I
is	Premise-I
bored	Premise-I
to	Premise-I
tears	Premise-I
and	Premise-I
on	Premise-I
a	Premise-I
behavioral	Premise-I
rampage	Premise-I
.	Premise-I
I	O
just	O
don	O
'	O
t	O
know	O
what	O
the	O
best	O
option	O
is	O
.	O
I	O
see	O
benefit	O
to	O
both	O
sides	O
of	O
the	O
argument	O
.	O
And	O
I	O
also	O
see	O
the	O
government	O
abuse	O
for	O
both	O
sides	O
of	O
the	O
spectrum	O
.	O
Really	O
,	O
I	O
think	O
we	O
need	O
to	O
actually	O
offer	O
individualized	O
education	O
.	O
If	O
a	O
student	O
can	O
show	O
in	O
increased	O
performance	O
in	O
a	O
higher	O
level	O
mainstream	O
class	O
even	O
with	O
resource	O
,	O
great	O
.	O
If	O
not	O
,	O
they	O
need	O
to	O
be	O
tracked	O
in	O
a	O
class	O
that	O
tailors	O
to	O
thier	O
needs	O
.	O
Also	O
,	O
sometimes	O
ability	O
and	O
IQ	O
are	O
not	O
the	O
issue	O
,	O
social	O
and	O
bahavior	O
are	O
.	O
Guess	O
what	O
,	O
they	O
are	O
ridiculed	O
and	O
picked	O
on	O
and	O
continuie	O
to	O
act	O
out	O
cause	O
they	O
thin	O
the	O
other	O
students	O
are	O
laughing	O
"	O
with	O
them	O
"	O
.	O
They	O
can	O
mainstream	O
them	O
in	O
sports	O
and	O
electives	O
for	O
socialization	O
.	O
I	O
think	O
sometimes	O
we	O
are	O
just	O
unrealistic	O
.	O
