forgot	Backing-B
to	Backing-I
add	Backing-I
,	Backing-I
my	Backing-I
son	Backing-I
was	Backing-I
very	Backing-I
disruptive	Backing-I
and	Backing-I
dangerous	Backing-I
alot	Backing-I
of	Backing-I
the	Backing-I
time	Backing-I
in	Backing-I
mainstream	Backing-I
,	Backing-I
because	Backing-I
he	Backing-I
couldn	Backing-I
'	Backing-I
t	Backing-I
cope	Backing-I
.	Backing-I
the	Backing-I
teachers	Backing-I
were	Backing-I
not	Backing-I
sufficiently	Backing-I
trained	Backing-I
to	Backing-I
deal	Backing-I
with	Backing-I
him	Backing-I
,	Backing-I
we	Backing-I
were	Backing-I
constantly	Backing-I
called	Backing-I
to	Backing-I
the	Backing-I
school	Backing-I
to	Backing-I
sort	Backing-I
it	Backing-I
out	Backing-I
(	Backing-I
when	Backing-I
tbh	Backing-I
we	Backing-I
had	Backing-I
no	Backing-I
idea	Backing-I
how	Backing-I
either	Backing-I
!	Backing-I
)	Backing-I
he	Backing-I
was	Backing-I
suspended	Backing-I
more	Backing-I
times	Backing-I
than	Backing-I
i	Backing-I
remember	Backing-I
and	Backing-I
was	Backing-I
only	Backing-I
on	Backing-I
half	Backing-I
days	Backing-I
!	Backing-I
(	Backing-I
which	Backing-I
i	Backing-I
'	Backing-I
ve	Backing-I
later	Backing-I
discovered	Backing-I
is	Backing-I
actually	Backing-I
illegal	Backing-I
)	Backing-I
.	Backing-I
.	Backing-I
.	Backing-I
so	Backing-I
no	Backing-I
,	Backing-I
it	Backing-I
wasn	Backing-I
'	Backing-I
t	Backing-I
fair	Backing-I
on	Backing-I
the	Backing-I
other	Backing-I
kids	Backing-I
.	Backing-I
.	Backing-I
.	Backing-I
not	Backing-I
fair	Backing-I
on	Backing-I
him	Backing-I
either	Backing-I
.	Backing-I
the	Premise-B
government	Premise-I
seem	Premise-I
to	Premise-I
think	Premise-I
that	Premise-I
making	Premise-I
special	Premise-I
needs	Premise-I
kids	Premise-I
go	Premise-I
to	Premise-I
mainstream	Premise-I
will	Premise-I
improve	Premise-I
people	Premise-I
'	Premise-I
s	Premise-I
attitudes	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
it	Premise-I
doesn	Premise-I
'	Premise-I
t	Premise-I
in	Premise-I
my	Premise-I
experience	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
they	Premise-I
only	Premise-I
did	Premise-I
it	Premise-I
to	Premise-I
save	Premise-I
money	Premise-I
