Children	Claim-B
should	Claim-I
be	Claim-I
placed	Claim-I
in	Claim-I
the	Claim-I
appropriate	Claim-I
grade	Claim-I
based	Claim-I
on	Claim-I
the	Claim-I
district	Claim-I
guidelines	Claim-I
unless	O
there	Rebuttal-B
is	Rebuttal-I
a	Rebuttal-I
documented	Rebuttal-I
need	Rebuttal-I
to	Rebuttal-I
do	Rebuttal-I
otherwise	Rebuttal-I
.	Rebuttal-I
Parents	Rebuttal-B
should	Rebuttal-I
be	Rebuttal-I
able	Rebuttal-I
to	Rebuttal-I
keep	Rebuttal-I
their	Rebuttal-I
kids	Rebuttal-I
home	Rebuttal-I
an	Rebuttal-I
extra	Rebuttal-I
year	Rebuttal-I
if	Rebuttal-I
they	Rebuttal-I
believe	Rebuttal-I
their	Rebuttal-I
child	Rebuttal-I
isn	Rebuttal-I
'	Rebuttal-I
t	Rebuttal-I
ready	Rebuttal-I
for	Rebuttal-I
the	Rebuttal-I
classroom	Rebuttal-I
environment	Rebuttal-I
,	Rebuttal-I
but	O
when	Refutation-B
they	Refutation-I
enroll	Refutation-I
they	Refutation-I
should	Refutation-I
be	Refutation-I
put	Refutation-I
into	Refutation-I
the	Refutation-I
1st	Refutation-I
grade	Refutation-I
(	Refutation-I
again	Refutation-I
unless	Refutation-I
there	Refutation-I
is	Refutation-I
a	Refutation-I
documented	Refutation-I
delay	Refutation-I
)	Refutation-I
.	Refutation-I
