Testimony	Backing-B
:	Backing-I
My	Backing-I
son	Backing-I
,	Backing-I
now	Backing-I
25	Backing-I
,	Backing-I
was	Backing-I
held	Backing-I
back	Backing-I
by	Backing-I
going	Backing-I
to	Backing-I
Transitional	Backing-I
first	Backing-I
grade	Backing-I
(	Backing-I
T1	Backing-I
)	Backing-I
.	Backing-I
Not	Backing-I
sure	Backing-I
how	Backing-I
it	Backing-I
would	Backing-I
have	Backing-I
turned	Backing-I
out	Backing-I
if	Backing-I
we	Backing-I
'	Backing-I
d	Backing-I
sent	Backing-I
him	Backing-I
straight	Backing-I
through	Backing-I
,	Backing-I
but	Backing-I
I	Backing-I
can	Backing-I
attest	Backing-I
that	Backing-I
he	Backing-I
is	Backing-I
a	Backing-I
leader	Backing-I
in	Backing-I
all	Backing-I
things	Backing-I
he	Backing-I
does	Backing-I
–	Backing-I
athletically	Backing-I
,	Backing-I
professionally	Backing-I
,	Backing-I
and	Backing-I
socially	Backing-I
.	Backing-I
He	Backing-I
was	Backing-I
awarded	Backing-I
a	Backing-I
full	Backing-I
athletic	Backing-I
college	Backing-I
scholarship	Backing-I
;	Backing-I
voted	Backing-I
captain	Backing-I
of	Backing-I
his	Backing-I
team	Backing-I
by	Backing-I
his	Backing-I
teammates	Backing-I
for	Backing-I
three	Backing-I
years	Backing-I
,	Backing-I
and	Backing-I
earned	Backing-I
another	Backing-I
scholarship	Backing-I
to	Backing-I
get	Backing-I
his	Backing-I
masters	Backing-I
;	Backing-I
and	Backing-I
had	Backing-I
several	Backing-I
generous	Backing-I
job	Backing-I
offers	Backing-I
to	Backing-I
choose	Backing-I
from	Backing-I
upon	Backing-I
graduating	Backing-I
.	Backing-I
I	O
believe	O
that	O
his	O
going	O
the	O
T1	O
route	O
was	O
a	O
part	O
of	O
what	O
worked	O
for	O
us	O
.	O
I	O
know	O
it	O
'	O
s	O
a	O
tough	O
decision	O
to	O
make	O
–	O
best	O
of	O
luck	O
to	O
those	O
trying	O
to	O
make	O
the	O
decision	O
,	O
I	O
know	O
its	O
tough	O
and	O
is	O
different	O
for	O
each	O
child	O
.	O
