1	Should	_	_	O
2	students	_	_	O
3	be	_	_	O
4	taught	_	_	O
5	to	_	_	O
6	compete	_	_	O
7	or	_	_	O
8	to	_	_	O
9	cooperate	_	_	O
10	?	_	_	O
11	It	_	_	O
12	is	_	_	O
13	always	_	_	O
14	said	_	_	O
15	that	_	_	O
16	competition	_	_	O
17	can	_	_	O
18	effectively	_	_	O
19	promote	_	_	O
20	the	_	_	O
21	development	_	_	O
22	of	_	_	O
23	economy	_	_	O
24	.	_	_	O
25	In	_	_	O
26	order	_	_	O
27	to	_	_	O
28	survive	_	_	O
29	in	_	_	O
30	the	_	_	O
31	competition	_	_	O
32	,	_	_	O
33	companies	_	_	O
34	continue	_	_	O
35	to	_	_	O
36	improve	_	_	O
37	their	_	_	O
38	products	_	_	O
39	and	_	_	O
40	service	_	_	O
41	,	_	_	O
42	and	_	_	O
43	as	_	_	O
44	a	_	_	O
45	result	_	_	O
46	,	_	_	O
47	the	_	_	O
48	whole	_	_	O
49	society	_	_	O
50	prospers	_	_	O
51	.	_	_	O
52	However	_	_	O
53	,	_	_	O
54	when	_	_	O
55	we	_	_	O
56	discuss	_	_	O
57	the	_	_	O
58	issue	_	_	O
59	of	_	_	O
60	competition	_	_	O
61	or	_	_	O
62	cooperation	_	_	O
63	,	_	_	O
64	what	_	_	O
65	we	_	_	O
66	are	_	_	O
67	concerned	_	_	O
68	about	_	_	O
69	is	_	_	O
70	not	_	_	O
71	the	_	_	O
72	whole	_	_	O
73	society	_	_	O
74	,	_	_	O
75	but	_	_	O
76	the	_	_	O
77	development	_	_	O
78	of	_	_	O
79	an	_	_	O
80	individual	_	_	O
81	'	_	_	O
82	s	_	_	O
83	whole	_	_	O
84	life	_	_	O
85	.	_	_	O
86	From	_	_	O
87	this	_	_	O
88	point	_	_	O
89	of	_	_	O
90	view	_	_	O
91	,	_	_	O
92	I	_	_	O
93	firmly	_	_	O
94	believe	_	_	O
95	that	_	_	O
96	we	_	_	B-MajorClaim
97	should	_	_	I-MajorClaim
98	attach	_	_	I-MajorClaim
99	more	_	_	I-MajorClaim
100	importance	_	_	I-MajorClaim
101	to	_	_	I-MajorClaim
102	cooperation	_	_	I-MajorClaim
103	during	_	_	I-MajorClaim
104	primary	_	_	I-MajorClaim
105	education	_	_	I-MajorClaim
106	.	_	_	O
107	First	_	_	O
108	of	_	_	O
109	all	_	_	O
110	,	_	_	O
111	through	_	_	B-Claim:For
112	cooperation	_	_	I-Claim:For
113	,	_	_	I-Claim:For
114	children	_	_	I-Claim:For
115	can	_	_	I-Claim:For
116	learn	_	_	I-Claim:For
117	about	_	_	I-Claim:For
118	interpersonal	_	_	I-Claim:For
119	skills	_	_	I-Claim:For
120	which	_	_	I-Claim:For
121	are	_	_	I-Claim:For
122	significant	_	_	I-Claim:For
